t t 1 S 1 t t t t t t t t t t t t t
t t 1 0 1 t t t t t t t t t t t t t
t 1 1 0 1 1 1 1 1 1 t t t 1 t t t t
t t 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 t
t t t t t 1 1 1 1 1 1 1 1 1 1 1 0 t
t t t t t 1 1 1 1 1 1 1 1 1 1 1 0 t
t t 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 t
t t 1 0 1 t t 1 1 1 1 1 0 1 1 1 0 t
t t 1 0 1 t t 1 1 1 1 1 0 1 1 1 0 t
t 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 t
1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 t
1 1 1 1 1 0 0 0 0 0 0 0 0 1 t t 1 1
1 1 1 1 1 0 1 1 1 1 1 1 1 1 t t 1 1
t 1 t t 1 0 1 1 1 1 2 2 2 2 1 1 1 1
t t t t 1 0 1 1 1 1 2 2 2 2 2 t 1 1
t t t t 1 0 1 1 1 2 2 2 2 2 2 1 1 1
t t t 1 1 0 1 1 1 1 2 2 t 1 1 1 1 1
1 1 1 1 1 E 1 1 1 1 1 1 1 1 1 t t 1
